p2train-0	他们觉得父母的行为方式和价值观念太不老了	他们觉得父母的行为方式和价值观念太老了
p2train-1	所以对学习的发展造成影响	所以对学习造成影响
p2train-2	但那些人也毕竟是少数的	但那些人也毕竟是少数
p2train-3	两代人互相尊重别一代的话	两代人互相尊重的话
p2train-4	我想帮他的学习汉语	我想帮他学习汉语
p2train-5	这个是代沟发生的大原因	这个是代沟发生的原因
p2train-6	保护生态污染是很重要的	保护生态是很重要的
p2train-7	所以上一辈的讲话听起来只为是让管教自己	所以上一辈的讲话听起来只为管教自己
p2train-8	在这一切中都需要有声音来决定的	在这一切中都需要有声音来决定
p2train-9	三个月也飞快地过去了	三个月飞快地过去了
p2train-10	学习汉语可是个苦比乐更多	学习汉语可是苦比乐更多
p2train-11	但还仍然有很多不足之处	但仍然有很多不足之处
p2train-12	在人口密集的商业中心当然人太多	在人口密集的商业中心人太多
p2train-13	教室里的人都是个女的	教室里的人都是女的
p2train-14	吸烟对人民个人健康的害处早已是家喻户晓的	吸烟对个人健康的害处早已是家喻户晓的
p2train-15	要是我家里人的谁得了不治之症	要是我家里人谁得了不治之症
p2train-16	我不是反对男女分班的	我不是反对男女分班
p2train-17	记对我影响最大的一个人是我的母亲	对我影响最大的一个人是我的母亲
p2train-18	而生存主要靠着吃的东西	而生存主要靠吃的东西
p2train-19	每次面对困难的时	每次面对困难时
p2train-20	就是父母是孩子的第一任老师的	就是父母是孩子的第一任老师
p2train-21	独立心强的人的话	独立心强的人
p2train-22	这对青少年们造成不良的影响	这对青少年造成不良的影响
p2train-23	不由而然地想起您二位的养育之恩	不由地想起您二位的养育之恩
p2train-24	对代沟问题得到解决	代沟问题得到解决
p2train-25	可见对孩子来说在身边的人是多么重要的	可见对孩子来说在身边的人是多么重要
p2train-26	那天正好我有了高考	那天正好我有高考
p2train-27	我觉得人们大多数人的健康很重要	我觉得人们的健康很重要
p2train-28	但是我希望我们能从中筛选一些对于我们对于社会有益的歌手	但是我希望我们能从中筛选一些对于我们对于社会有益的歌
p2train-29	本人先致以万二分的谢意	本人先致以万分的谢意
p2train-30	但虽然不陌生	虽然不陌生
p2train-31	所有的乐事在于口语	所有的乐事在口语
p2train-32	先考虑好自己要不要取安乐死	先考虑好自己要不要安乐死
